Bremen Riedemannstraße,53.135024,8.715458,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Klinikum Bremen-Ost,53.066199,8.943872,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Burger Dorfstraße,53.155015,8.70459,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Brünsweg,53.044354,8.897381,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Fresenbergstraße,53.18387,8.573123,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Friedhof Huchting,53.038981,8.728576,02:54:43,2024-02-28,night,34,34,0,,,
Bremen St.-Magnus-Straße,53.092578,8.784457,02:54:43,2024-02-28,night,29,29,0,,,
Bremen Sandkuhlenweg,53.225303,8.510034,02:54:43,2024-02-28,night,53,53,0,,,
Bremen Hermann-Osterloh-Straße,53.039052,8.932274,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Hermann-Koenen-Straße,53.071088,8.916126,02:54:43,2024-02-28,night,43,43,0,,,
Bremen Hermann-Helms-Straße,53.033495,8.850653,02:54:43,2024-02-28,night,41,41,0,,,
Bremen Hermann-Funk-Straße,53.056807,8.880991,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Brandenburger Straße,53.082128,8.867423,02:54:43,2024-02-28,night,57,57,0,,,
Bremen Brunnenstraße,53.072248,8.82864,02:54:43,2024-02-28,night,22,22,0,,,
Bremen Ruppertshainer Straße,53.044297,8.922371,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Rotterdamer Straße,53.040909,8.731048,02:54:43,2024-02-28,night,43,43,0,,,
Bremen Rotdornallee,53.173313,8.688119,02:54:43,2024-02-28,night,79,79,0,,,
Bremen Saarstraße,53.059599,8.90939,02:54:43,2024-02-28,night,33,33,0,,,
Bremen Herbststraße,53.090874,8.805639,02:54:43,2024-02-28,night,34,34,0,,,
Bremen Herbartstraße,53.188459,8.640607,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Bf Klinikum Bremen-Nord,53.183616,8.595786,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Panrepel-Süd,53.042473,8.961146,02:54:43,2024-02-28,night,49,49,0,,,
Bremen Panrepel-Nord,53.045949,8.965827,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Otto-Braun-Straße,53.086101,8.886604,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Parkallee,53.099188,8.837012,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Hohenhorster Weg,53.044809,8.736153,02:54:43,2024-02-28,night,43,43,0,,,
Bremen Holsteiner Straße,53.103246,8.794121,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Ermlandstraße,53.196601,8.549472,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Colshornstraße,53.038246,8.925009,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Im Holze,53.099087,8.921967,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Im Holter Feld,53.071527,8.902785,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Carl-Hurtzig-Straße,53.055035,8.739491,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Carl-Goerdeler-Straße,53.079302,8.896774,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Campingplatz,53.115035,8.833152,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Christernstraße,53.054497,8.894109,02:54:43,2024-02-28,night,34,34,0,,,
Bremen Bottroper Straße,53.071947,8.920571,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Borgwardstraße,53.045739,8.844893,02:54:43,2024-02-28,night,45,45,0,,,
