"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000008006058,000008006058,2,300,,,,
000008004415,000008004415,2,300,,,,
000008002545,000008002545,2,300,,,,
000008003182,000008003182,2,300,,,,
000008001118,000008001118,2,300,,,,
000008001781,000008001781,2,300,,,,
000008001782,000008001782,2,300,,,,
000008005292,000008005292,2,300,,,,
000008000049,000008000049,2,360,,,,
000008012289,000008012289,2,180,,,,
000008002680,000008002680,2,300,,,,
000008000140,000008000140,2,300,,,,
000008000147,000008000147,2,420,,,,
000008000735,000008000735,2,300,,,,
000008000732,000008000732,2,300,,,,
000008002370,000008002370,2,300,,,,
000008010334,000008010334,2,300,,,,
000008002259,000008002259,2,300,,,,
000008010217,000008010217,2,180,,,,
000008001957,000008001957,2,300,,,,
000008004760,000008004760,2,300,,,,
000008001492,000008001492,2,300,,,,
000008001493,000008001493,2,300,,,,
000008001106,000008001106,2,300,,,,
000008005283,000008005283,2,300,,,,
000008001063,000008001063,2,300,,,,
000008003212,000008003212,2,300,,,,
000008001342,000008001342,2,300,,,,
000008002915,000008002915,2,300,,,,
000008002916,000008002916,2,300,,,,
000008003577,000008003577,2,300,,,,
000008002921,000008002921,2,300,,,,
000008002923,000008002923,2,300,,,,
000008002920,000008002920,2,300,,,,
000008002801,000008002801,2,300,,,,
000008003469,000008003469,2,300,,,,
000008003460,000008003460,2,300,,,,
000000176212,000000176212,2,120,,,,
000000176456,000000176456,2,120,,,,
000008007840,000008007840,2,300,,,,
000008007841,000008007841,2,300,,,,
000008007844,000008007844,2,300,,,,
000008007845,000008007845,2,300,,,,
000008007843,000008007843,2,300,,,,
000008001055,000008001055,2,180,,,,
000008003200,000008003200,2,420,,,,
000008002903,000008002903,2,300,,,,
000008005436,000008005436,2,300,,,,
000008003563,000008003563,2,300,,,,
000008000290,000008000290,2,240,,,,
000008000297,000008000297,2,300,,,,
000008005717,000008005717,2,300,,,,
000008002864,000008002864,2,300,,,,
000009056723,000009056723,2,120,,,,
000000845102,000000845102,2,180,,,,
000000845103,000000845103,2,120,,,,
000000845100,000000845100,2,180,,,,
000000845101,000000845101,2,120,,,,
000000845108,000000845108,2,120,,,,
000008002873,000008002873,2,300,,,,
000000845106,000000845106,2,120,,,,
000000845107,000000845107,2,180,,,,
000000845104,000000845104,2,120,,,,
000000843700,000000843700,2,120,,,,
000000847230,000000847230,2,120,,,,
000000843701,000000843701,2,120,,,,
