stop_name,stop_lat,stop_lon,current_time,current_date,daytime
Bremen Im Holter Feld,53.071527,8.902785,02:44:51,2024-02-16,night
Bremen Carl-Hurtzig-Straße,53.055035,8.739491,02:44:51,2024-02-16,night
Bremen Carl-Goerdeler-Straße,53.079302,8.896774,02:44:51,2024-02-16,night
Bremen Campingplatz,53.115035,8.833152,02:44:51,2024-02-16,night
Bremen Christernstraße,53.054497,8.894109,02:44:51,2024-02-16,night
Bremen Bottroper Straße,53.071947,8.920571,02:44:51,2024-02-16,night
Bremen Borgwardstraße,53.045739,8.844893,02:44:51,2024-02-16,night
Bremen Karl-Peters-Straße,53.095457,8.782206,02:44:51,2024-02-16,night
Bremen Karl-Bröger-Straße,53.124857,8.7489,02:44:51,2024-02-16,night
Bremen Auf dem Pasch,53.167455,8.685111,02:44:51,2024-02-16,night
Bremen Auf dem Krümpel,53.173164,8.640018,02:44:51,2024-02-16,night
Bremen Ascherfeld,53.178477,8.624792,02:44:51,2024-02-16,night
Bremen Auf der Sandhöhe,53.080088,8.709937,02:44:51,2024-02-16,night
Bremen Osterhop,53.052712,8.8993,02:44:51,2024-02-16,night
Bremen Osterholzer Landstraße,53.074053,8.936052,02:44:51,2024-02-16,night
Bremen Ostwaldstraße,53.111033,8.892938,02:44:51,2024-02-16,night
Bremen Hohenesch,53.21337,8.511061,02:44:51,2024-02-16,night
Bremen Poggenburg,53.065226,8.932828,02:44:51,2024-02-16,night
Bremen Piependamm,53.041519,8.850432,02:44:51,2024-02-16,night
Bremen Hannoversche Straße,53.055731,8.884861,02:44:51,2024-02-16,night
Bremen Hanfstraße,53.191441,8.53842,02:44:51,2024-02-16,night
Bremen Hakenwehrstraße,53.189758,8.571367,02:44:51,2024-02-16,night
Bremen Hansestraße,53.091659,8.791314,02:44:51,2024-02-16,night
Bremen Polizeipräsidium,53.079174,8.878882,02:44:51,2024-02-16,night
Bremen Helene-Lange-Straße,53.050944,8.836268,02:44:51,2024-02-16,night
Bremen Kapitän-König-Weg,53.101114,8.916252,02:44:51,2024-02-16,night
Bremen Arster Kirche,53.030817,8.850603,02:44:51,2024-02-16,night
