stop_name,stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed
Bremen Fresenbergstraße,53.18387,8.573123,Bremen Fresenbergstraße,27.0,35.0
Bremen Friedhof Huchting,53.038981,8.728576,Bremen Friedhof Huchting,36.0,36.0
Bremen Sandkuhlenweg,53.225303,8.510034,Bremen Sandkuhlenweg,53.0,53.0
Bremen Hermann-Osterloh-Straße,53.039052,8.932274,Bremen Hermann-Osterloh-Straße,43.0,43.0
Bremen Hermann-Koenen-Straße,53.071088,8.916126,Bremen Hermann-Koenen-Straße,27.0,43.0
Bremen Hermann-Helms-Straße,53.033495,8.850653,Bremen Hermann-Helms-Straße,32.0,40.0
Bremen Brandenburger Straße,53.082128,8.867423,Bremen Brandenburger Straße,48.0,57.0
Bremen Brunnenstraße,53.072248,8.82864,Bremen Brunnenstraße,16.0,23.0
Bremen Ruppertshainer Straße,53.044297,8.922371,Bremen Ruppertshainer Straße,43.0,43.0
Bremen Rotterdamer Straße,53.040909,8.731048,Bremen Rotterdamer Straße,29.0,42.0
Bremen Rotdornallee,53.173313,8.688119,Bremen Rotdornallee,76.0,76.0
Bremen Saarstraße,53.059599,8.90939,Bremen Saarstraße,33.0,33.0
Bremen Herbststraße,53.090874,8.805639,Bremen Herbststraße,25.0,34.0
Bremen Herbartstraße,53.188459,8.640607,Bremen Herbartstraße,28.0,36.0
Bremen Bf Klinikum Bremen-Nord,53.183616,8.595786,Bremen Bf Klinikum Bremen-Nord,23.0,34.0
Bremen Panrepel-Süd,53.042473,8.961146,Bremen Panrepel-Süd,35.0,48.0
Bremen Panrepel-Nord,53.045949,8.965827,Bremen Panrepel-Nord,24.0,40.0
Bremen Otto-Braun-Straße,53.086101,8.886604,Bremen Otto-Braun-Straße,28.0,39.0
Bremen Hohenhorster Weg,53.044809,8.736153,Bremen Hohenhorster Weg,30.0,42.0
Bremen Holsteiner Straße,53.103246,8.794121,Bremen Holsteiner Straße,27.0,37.0
Bremen Ermlandstraße,53.196601,8.549472,Bremen Ermlandstraße,36.0,36.0
Bremen Colshornstraße,53.038246,8.925009,Bremen Colshornstraße,42.0,42.0
Bremen Im Holze,53.099087,8.921967,Bremen Im Holze,36.0,45.0
Bremen Im Holter Feld,53.071527,8.902785,Bremen Im Holter Feld,50.0,50.0
Bremen Carl-Hurtzig-Straße,53.055035,8.739491,Bremen Carl-Hurtzig-Straße,3.0,48.0
Bremen Carl-Goerdeler-Straße,53.079302,8.896774,Bremen Carl-Goerdeler-Straße,23.0,34.0
Bremen Campingplatz,53.115035,8.833152,Bremen Campingplatz,52.0,52.0
Bremen Christernstraße,53.054497,8.894109,Bremen Christernstraße,24.0,33.0
Bremen Bottroper Straße,53.071947,8.920571,Bremen Bottroper Straße,34.0,42.0
Bremen Karl-Bröger-Straße,53.124857,8.7489,Bremen Karl-Bröger-Straße,36.0,36.0
Bremen Auf dem Pasch,53.167455,8.685111,Bremen Auf dem Pasch,46.0,46.0
Bremen Auf dem Krümpel,53.173164,8.640018,Bremen Auf dem Krümpel,34.0,45.0
Bremen Ascherfeld,53.178477,8.624792,Bremen Ascherfeld,46.0,46.0
Bremen Auf der Sandhöhe,53.080088,8.709937,Bremen Auf der Sandhöhe,58.0,58.0
Bremen Osterhop,53.052712,8.8993,Bremen Osterhop,22.0,31.0
Bremen Osterholzer Landstraße,53.074053,8.936052,Bremen Osterholzer Landstraße,27.0,43.0
Bremen Hohenesch,53.21337,8.511061,Bremen Hohenesch,50.0,50.0
Bremen Poggenburg,53.065226,8.932828,Bremen Poggenburg,36.0,36.0
Bremen Piependamm,53.041519,8.850432,Bremen Piependamm,31.0,41.0
Bremen Hannoversche Straße,53.055731,8.884861,Bremen Hannoversche Straße,36.0,36.0
Bremen Hanfstraße,53.191441,8.53842,Bremen Hanfstraße,32.0,50.0
Bremen Hakenwehrstraße,53.189758,8.571367,Bremen Hakenwehrstraße,36.0,36.0
Bremen Hansestraße,53.091659,8.791314,Bremen Hansestraße,20.0,32.0
Bremen Polizeipräsidium,53.079174,8.878882,Bremen Polizeipräsidium,20.0,34.0
Bremen Helene-Lange-Straße,53.050944,8.836268,Bremen Helene-Lange-Straße,43.0,43.0
Bremen Kapitän-König-Weg,53.101114,8.916252,Bremen Kapitän-König-Weg,36.0,45.0
Bremen Arster Kirche,53.030817,8.850603,Bremen Arster Kirche,31.0,41.0
Bremen Wasserturm,53.186622,8.572564,Bremen Wasserturm,29.0,35.0
Bremen Weidedamm-Süd,53.096293,8.819184,Bremen Weidedamm-Süd,26.0,39.0
Bremen Bruchhauser Straße,53.039086,8.834853,Bremen Bruchhauser Straße,28.0,42.0
Bremen Huckelriede,53.051804,8.819524,Bremen Huckelriede,20.0,20.0
Bremen Willigstraße,53.059,8.80887,Bremen Willigstraße,22.0,37.0
Bremen August-Hinrichs-Straße,53.060767,8.804383,Bremen August-Hinrichs-Straße,22.0,37.0
Bremen Arster Landstraße,53.028031,8.849956,Bremen Arster Landstraße,31.0,41.0
Bremen Universität-Süd,53.105197,8.850888,Bremen Universität-Süd,30.0,47.0
Bremen Arsterdamm,53.046718,8.818351,Bremen Arsterdamm,28.0,40.0
Bremen Harriersand,53.057678,8.728489,Bremen Harriersand,24.0,51.0
Bremen Brüsseler Straße,53.056144,8.716162,Bremen Brüsseler Straße,9.0,13.0
Bremen Marßel,53.178579,8.724093,Bremen Marßel,48.0,59.0
Bremen Mercedes-Benz Tor 7,53.062863,8.913942,Bremen Mercedes-Benz Tor 7,27.0,43.0
Bremen Roland-Center,53.048336,8.741268,Bremen Roland-Center,31.0,42.0
Bremen Philipp-Scheidemann-Straße,53.085865,8.879448,Bremen Philipp-Scheidemann-Straße,24.0,36.0
Bremen Habenhauser Brückenstraße,53.050319,8.847649,Bremen Habenhauser Brückenstraße,34.0,46.0
Bremen Waller Ring,53.098533,8.776565,Bremen Waller Ring,37.0,49.0
Bremen Marschstraße,53.047316,8.892916,Bremen Marschstraße,30.0,40.0
Bremen Pfarrfeldsweg,53.045353,8.851022,Bremen Pfarrfeldsweg,31.0,41.0
Bremen Neuwieder Straße,53.066796,8.96154,Bremen Neuwieder Straße,23.0,40.0
Bremen Norderländer Straße,53.058464,8.758757,Bremen Norderländer Straße,51.0,51.0
Bremen Heisiusstraße,53.039044,8.916285,Bremen Heisiusstraße,42.0,42.0
Bremen Heinrich-Hertz-Straße,53.082918,8.874987,Bremen Heinrich-Hertz-Straße,28.0,39.0
Bremen Heiligenbergstraße,53.053487,8.953382,Bremen Heiligenbergstraße,37.0,44.0
Bremen Helsingborger Straße,53.178584,8.71919,Bremen Helsingborger Straße,49.0,59.0
Bremen Grenzwehr,53.068245,8.938981,Bremen Grenzwehr,23.0,37.0
Bremen Neue Vahr Nord,53.086163,8.896131,Bremen Neue Vahr Nord,112.0,112.0
Bremen Stehnckenshoff,53.168762,8.695165,Bremen Stehnckenshoff,28.0,36.0
Bremen Staustraße,53.04662,8.859413,Bremen Staustraße,40.0,40.0
Bremen Mittelshuchtinger Dorfstraße,53.056921,8.72305,Bremen Mittelshuchtinger Dorfstraße,25.0,52.0
Bremen Modersohnweg,53.094139,8.914759,Bremen Modersohnweg,48.0,48.0
Bremen Stadtwaldsee,53.114889,8.837954,Bremen Stadtwaldsee,52.0,52.0
